"category","avg_rating","total_reviews"
"Computers&Accessories|Tablets","4.6","1"
"Electronics|PowerAccessories|SurgeProtectors","4.5","1"
"Computers&Accessories|NetworkingDevices|NetworkAdapters|PowerLANAdapters","4.5","1"
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SmallApplianceParts&Accessories","4.5","1"
"Home&Kitchen|CraftMaterials|PaintingMaterials","4.5","1"
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeePresses","4.5","1"
"Computers&Accessories|Components|Memory","4.5","1"
"HomeImprovement|Electrical|CordManagement","4.5","1"
"OfficeProducts|OfficeElectronics|Calculators|Basic","4.5","1"
"Electronics|HomeAudio|MediaStreamingDevices|StreamingClients","4.5","1"
"Electronics|Cameras&Photography|Accessories|Film","4.5","1"
"Electronics|Mobiles&Accessories|MobileAccessories|Maintenance,Upkeep&Repairs|ScreenProtectors","4.47","7"
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DeepFatFryers|AirFryers","4.46","5"
"OfficeProducts|OfficeElectronics|Calculators|Scientific","4.45","2"
"Home&Kitchen|CraftMaterials|PaintingMaterials|Paints","4.43","3"
"Electronics|GeneralPurposeBatteries&BatteryChargers|DisposableBatteries","4.41","7"
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|RotiMakers","4.4","1"
"OfficeProducts|OfficeElectronics|Calculators|Financial&Business","4.4","1"
"Electronics|HomeTheater,TV&Video|Accessories|Cables|SpeakerCables","4.4","1"
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances","4.4","1"
"Electronics|HomeAudio|Accessories|Adapters","4.4","1"
"Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pens","4.4","1"
"Computers&Accessories|ExternalDevices&DataStorage|ExternalHardDisks","4.4","6"
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|WireboundNotebooks","4.4","4"
"Electronics|Mobiles&Accessories|MobileAccessories|Décor|PhoneCharms","4.4","1"
"Computers&Accessories|ExternalDevices&DataStorage|ExternalSolidStateDrives","4.4","1"
"Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|DVICables","4.4","1"
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Juicers|ColdPressJuicers","4.4","1"
"Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|EthernetCables","4.4","2"
"Computers&Accessories|Components|InternalSolidStateDrives","4.4","3"
"Electronics|Accessories|MemoryCards|SecureDigitalCards","4.4","1"
"Electronics|Cameras&Photography|Accessories|Tripods&Monopods|CompleteTripodUnits","4.4","1"
"Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingMice","4.38","6"
"Electronics|GeneralPurposeBatteries&BatteryChargers","4.38","4"
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|MousePads","4.38","8"
